Uh La La La,♪♪♪♪♪,DanceDanceRevolution 2nd Mix,130,? ,,buhla,0 5 8 13 0 0 5 7 0 0
e-motion,e.o.s,DanceDanceRevolution 2nd Mix,145,Touhou ,,emot,2 5 6 8 0 0 6 8 11 0
GENOM SCREAMS,L.E.D.LIGHT,DanceDanceRevolution 2nd Mix,150,,,geno,3 6 8 11 0 0 9 11 12 0
TRIP MACHINE ～luv mix～,2MB,DanceDanceRevolution 3rd Mix,160,,,luvm,3 9 10 12 0 0 9 10 11 0
LOVE THIS FEELIN',Chang ma,DanceDanceRevolution 3rd Mix,95-190,,,this,4 9 10 11 0 0 10 11 12 0
think ya better D,sAmi,DanceDanceRevolution 3rd Mix,136,,,thin,3 5 6 9 0 0 6 7 10 0
LET THEM MOVE,N.M.R,DanceDanceRevolution 3rd Mix,115,,,imth,2 5 7 10 0 0 4 7 8 0
20,NOVEMBER (D.D.R. version),N.M.R feat. DJ nagureo,DanceDanceRevolution 3rd Mix,130,Tokimeki_Idol ,,nove,2 6 7 9 0 0 4 5 8 0
IN THE NAVY '99 (XXL Disaster Remix),CAPTAIN JACK,DanceDanceRevolution 3rd Mix,135,Variety ,,inth,4 6 9 11 0 0 6 8 12 0
THE RACE,CAPTAIN JACK,DanceDanceRevolution 3rd Mix,143,Variety ,,race,0 5 8 11 0 0 5 8 10 0
GET UP AND DANCE,FREEDOM,DanceDanceRevolution 3rd Mix,109,Variety ,,upan,0 4 6 9 0 0 2 3 7 0
XANADU,OLIVIA PROJECT,DanceDanceRevolution 3rd Mix,130,Variety ,,xana,0 2 5 9 12 0 3 5 8 12
UPSIDE DOWN,COO COO,DanceDanceRevolution 3rd Mix,124,Variety ,,upsi,0 4 7 11 0 0 5 6 7 0
IT ONLY TAKES A MINUTE (Extended Remix),TAVARES,DanceDanceRevolution 3rd Mix,122,Variety ,,iton,0 4 8 9 0 0 4 5 7 0
SO MANY MEN,ME & MY,DanceDanceRevolution 3rd Mix,120,Variety ,,soma,1 5 7 8 0 0 3 4 8 0
DO IT ALL NIGHT,E-ROTIC,DanceDanceRevolution 3rd Mix,143,Variety ,,doit,3 5 7 11 12 0 4 7 13 12
OPERATOR,PAPAYA,DanceDanceRevolution 3rd Mix,135,Variety ,,oper,0 4 7 11 12 0 4 7 11 0
VOL.4,RAVERS CHOICE,DanceDanceRevolution 3rd Mix,165,Variety ,,volf,0 6 8 10 11 0 7 8 11 11
ROCK BEAT,LOUD FORCE,DanceDanceRevolution 3rd Mix,150,Variety ,,rock,0 5 9 12 0 0 5 6 12 0
FOLLOW THE SUN (90 IN THE SHADE MIX),TRIPLE J,DanceDanceRevolution 3rd Mix,170,Variety ,,foll,0 6 9 11 13 0 8 11 11 13
butterfly (UPSWING MIX),SMiLE.dk,DanceDanceRevolution 3rd Mix,170,Variety ,,hbut,3 6 9 12 13 0 7 10 11 14
OH NICK PLEASE NOT SO QUICK,E-ROTIC,DanceDanceRevolution 3rd Mix,130,Variety ,,ohni,0 5 7 10 0 0 4 7 10 0
IF YOU CAN SAY GOODBYE,KATE PROJECT,DanceDanceRevolution 3rd Mix,132,Variety ,,cans,0 5 8 10 0 0 7 6 10 0
MR.WONDERFUL,SMiLE.dk,DanceDanceRevolution 3rd Mix,138,Variety ,,mrwo,0 5 8 10 0 0 4 7 10 0
GET UP (BEFORE THE NIGHT IS OVER),TECHNOTRONIC feat.YA KID K,DanceDanceRevolution 3rd Mix,124,Variety ,,etup,1 6 8 10 0 0 5 7 10 0
BOOM BOOM DOLLAR (K.O.G G3 MIX),King Kong & D.Jungle Girls,DanceDanceRevolution 3rd Mix,170,Variety ,,hboo,3 6 10 12 0 0 6 8 13 0
DAM DARIRAM,JOGA,DanceDanceRevolution 3rd Mix,142,Variety ,,damd,2 5 8 11 0 0 5 7 11 0
HOLIDAY,WHO'S THAT GIRL!,DanceDanceRevolution 3rd Mix,128,Variety ,,holi,3 5 8 10 0 0 4 6 9 0
